rang,titre,sous_titre,auteurs,editeur,collection,isbn,format,prix,date,url_livre,url_couverture,score_titre,confiance_titre,justif_titre,score_description,confiance_description,source_incomplete,justif_description,ecart_titre_description,source_notation
238,Questions réponses 7+ : les robots et l'intelligence artificielle,,"Laurent Bazart, Pierre-Yves Oudeyer, Didier Roy",Nathan,Questions Réponses 7+,9782092593295,Grand format,7.80 €,3 Septembre 2020,https://www.librel.be/livre/9782092593295-questions-reponses-7-les-robots-et-l-intelligence-artificielle-laurent-bazart-pierre-yves-oudeyer-didier-roy/,https://images.epagine.fr/295/9782092593295_1_m.jpg,0,3,"Neutre, pédagogique jeunesse, identique à l'ancre rang 50.",1,3,non,"« Peut-il être dangereux ? » une question parmi plusieurs, format ludique enfant.",-1,agent
239,L'intelligence artificielle au service de l'architecture,,Stanislas Chaillou,Le Moniteur,,9782281144857,Grand format,37.20 €,31 Mars 2021,https://www.librel.be/livre/9782281144857-l-intelligence-artificielle-au-service-de-l-architecture-stanislas-chaillou/,https://images.epagine.fr/857/9782281144857_1_m.jpg,0,3,"Neutre : 'au service de', positif.",0,3,non,"Promesses de l'IA en architecture, aucun élément négatif.",0,agent
240,"Intelligence artificielle et données de santé : Droit comparé : France, Québec et Californie",,"Maëlenn Corfmat, Anne Debet, Catherine Régis",Éditions L'Harmattan,Logiques Juridiques,9782336606958,Grand format,43.00 €,28 Mai 2026,https://www.librel.be/livre/9782336606958-intelligence-artificielle-et-donnees-de-sante-droit-compare-france-quebec-et-californie-maelenn-corfmat/,https://images.epagine.fr/958/9782336606958_1_m.jpg,0,3,"Neutre, juridique comparatif, académique.",0,3,non,Analyse juridique comparative neutre sur la protection des données.,0,agent
242,Orlan-oïde robot hybride avec intelligence artificielle et collective,,Collectif,Lienart,Monographies,9782359062410,Grand format,28.00 €,7 Juin 2018,https://www.librel.be/livre/9782359062410-orlan-oide-robot-hybride-avec-intelligence-artificielle-et-collective-collectif/,https://images.epagine.fr/410/9782359062410_1_m.jpg,0,3,"Neutre, description d'œuvre robotique hybride.",0,2,non,"Discours artistique sur l'identité, aucune thèse de menace liée à l'IA.",0,agent
243,Information et intelligence artificielle : Opportunités et risques,,"Evelyne Broudoux, Benoît Epron, Ghislaine Chartron",De Boeck Supérieur,Information & Stratégie,9782807369870,Grand format,29.90 €,13 Mars 2025,https://www.librel.be/livre/9782807369870-information-et-intelligence-artificielle-opportunites-et-risques-evelyne-broudoux-benoit-epron-ghislaine-chartron/,https://images.epagine.fr/870/9782807369870_1_m.jpg,2,2,"'Opportunités et risques' : mot de risque présent mais équilibré, non dramatique.",0,3,non,"Actes de conférence académique, descriptif et neutre.",2,agent
244,Le procès de l'IA : L'Intelligence Artificielle sur le banc des accusés,,"Institut EuropIA, Studio Laffitte",Ovadia,,9782363926562,Grand format,20.00 €,22 Septembre 2025,https://www.librel.be/livre/9782363926562-le-proces-de-l-ia-l-intelligence-artificielle-sur-le-banc-des-accuses-institut-europia-studio-laffitte/,https://images.epagine.fr/562/9782363926562_1_m.jpg,4,3,"'Sur le banc des accusés' : métaphore judiciaire d'accusation, angle négatif central.",0,3,non,"BD créée avec l'IA présentée comme innovation, ton positif.",4,agent
245,"I.A., la plus grande mutation de l'histoire ; comment la Chine devient le leader de l'Intelligence Artificielle et pourquoi nos vies vont changer",,"Kai-Fu Lee, Elise Roy",Éditions Les Arènes,,9782711201525,Grand format,20.00 €,4 Septembre 2019,https://www.librel.be/livre/9782711201525-i-a-la-plus-grande-mutation-de-l-histoire-comment-la-chine-devient-le-leader-de-l-intelligence-artificielle-et-pourquoi-nos-vies-vont-changer-kai-fu-lee/,https://images.epagine.fr/525/9782711201525_1_m.jpg,1,2,"'Plus grande mutation', 'nos vies vont changer' : changement vague, pas de menace nommée.",1,2,non,"Transformation économique célébrée, solutions proposées, ton enthousiaste dominant.",0,agent
246,Droit de l'intelligence artificielle - Guide pratique de la conformité internationale des entreprises,,"Lothar Determann, Marlyse Lissan",Bruylant,,9782802777120,Grand format,75.00 €,17 Novembre 2025,https://www.librel.be/livre/9782802777120-droit-de-l-intelligence-artificielle-guide-pratique-de-la-conformite-internationale-des-entreprises-lothar-determann/,https://images.epagine.fr/120/9782802777120_1_m.jpg,0,3,"Neutre, guide pratique de conformité.",0,2,non,"Texte très bref, défis juridiques mentionnés sans développement négatif.",0,agent
247,Propos sur l'art et l'intelligence artificielle,,"Marion Carré, Valentin Schmite",L'Art Dit,Papotages Entre Amis Autour D'Une Oeuvre,9782919221431,Poche,10.50 €,25 Mars 2020,https://www.librel.be/livre/9782919221431-propos-sur-l-art-et-l-intelligence-artificielle-marion-carre-valentin-schmite/,https://images.epagine.fr/431/9782919221431_1_m.jpg,0,3,"Neutre, essai sur l'art.",1,3,non,Peur de perte de contrôle citée puis vouée à être déconstruite comme mythologie.,-1,agent
248,Courrier international Hors-Série n.99 : Intelligence artificielle,,Collectif,Courrier International,Courrier International,3663322127694,Revue,8.90 €,19 Janvier 2024,https://www.librel.be/livre/3663322127694-courrier-international-hors-serie-n-99-intelligence-artificielle-collectif/,https://images.epagine.fr/694/3663322127694_1_m.jpg,0,3,"Neutre, magazine thématique.",1,2,non,"Liste de domaines bouleversés dont la guerre, sans développement, ton factuel.",-1,agent
249,Homo sapiens à l'heure de l'intelligence artificielle ; la métamorphose humaniste,,"Irène Dupoux-Couturier, Alain de Vulpian",Eyrolles,,9782212571318,Grand format,18.00 €,2 Mai 2019,https://www.librel.be/livre/9782212571318-homo-sapiens-a-l-heure-de-l-intelligence-artificielle-la-metamorphose-humaniste-irene-dupoux-couturier-alain-de-vulpian/,https://images.epagine.fr/318/9782212571318_1_m.jpg,0,3,"'Métamorphose humaniste' : positif, constructif.",0,2,non,"Réflexion sur l'évolution humaine, tonalité résolument optimiste et constructive.",0,agent
250,"L'intelligence artificielle, une révolution ?",,Emmanuel Jakobowicz,Alisio,,9782379351006,Grand format,19.90 €,27 Mai 2020,https://www.librel.be/livre/9782379351006-l-intelligence-artificielle-une-revolution-emmanuel-jakobowicz/,https://images.epagine.fr/006/9782379351006_1_m.jpg,1,2,"'Une révolution ?' : question ouverte, sans mot de menace fort.",2,2,non,Catastrophisme nommé puis relativisé par un panorama équilibré progrès/dangers.,-1,agent
251,Droit de l'intelligence artificielle Tome 15,,"Alexandra Bensamoun, Grégoire Loiseau",LGDJ,Les Intégrales,9782275095424,Grand format,85.00 €,29 Novembre 2022,https://www.librel.be/livre/9782275095424-droit-de-l-intelligence-artificielle-tome-15-alexandra-bensamoun-gregoire-loiseau/,https://images.epagine.fr/424/9782275095424_1_m.jpg,0,3,"Neutre, collection juridique.",0,3,non,"Panorama juridique académique exhaustif, ton neutre et descriptif.",0,agent
252,Un monde sans travail : Comment les nouvelles technologies et l'intelligence artificielle reconfigurent le marché du travail,,"Daniel Susskind, Céline Alexandre",Flammarion,Essais,9782081416949,Grand format,24.00 €,18 Janvier 2023,https://www.librel.be/livre/9782081416949-un-monde-sans-travail-comment-les-nouvelles-technologies-et-l-intelligence-artificielle-reconfigurent-le-marche-du-travail-daniel-susskind/,https://images.epagine.fr/949/9782081416949_1_m.jpg,4,3,"'Un monde sans travail' : perte d'emploi générale, angle négatif frontal et central.",3,2,non,"Menace du chômage technologique développée mais débat présenté comme ouvert, pistes proposées.",1,agent
253,L'influence entre l'intelligence artificielle et le juriste : L'histoire d'une réciprocité perpétuelle et éternelle,,"Siavash Shahrjerdi, William Gilles, Philippe Coen",Éditions L'Harmattan,Le Droit Aujourd'Hui,9782336441481,Grand format,36.00 €,11 Avril 2024,https://www.librel.be/livre/9782336441481-l-influence-entre-l-intelligence-artificielle-et-le-juriste-l-histoire-d-une-reciprocite-perpetuelle-et-eternelle-siavash-shahrjerdi/,https://images.epagine.fr/481/9782336441481_1_m.jpg,0,3,"Neutre : 'réciprocité perpétuelle et éternelle', académique.",0,2,non,Transformation du système judiciaire décrite de façon neutre et académique.,0,agent
254,Un droit de l'intelligence artificielle : entre règles sectorielles et régime général ; Perspectives comparées,,"Céline Castets-Renard, Jessica Eynard",Bruylant,,9782802772088,Grand format,151.00 €,16 Mars 2023,https://www.librel.be/livre/9782802772088-un-droit-de-l-intelligence-artificielle-entre-regles-sectorielles-et-regime-general-perspectives-comparees-celine-castets-renard-jessica-eynard/,https://images.epagine.fr/088/9782802772088_1_m.jpg,0,3,"Neutre, juridique comparatif.",0,2,non,"Description très générale d'une comparaison normative, aucun contenu négatif.",0,agent
255,"Dis, c'est quoi l'intelligence artificielle ?",,Pierre Lison,RENAISSANCE DU LIVRE,,9782507057299,Grand format,12.90 €,22 Février 2022,https://www.librel.be/livre/9782507057299-dis-c-est-quoi-l-intelligence-artificielle-pierre-lison/,https://images.epagine.fr/299/9782507057299_1_m.jpg,0,3,"Neutre, question enfantine.",1,3,non,"Deux points de vue (libération/menace) posés puis traités pédagogiquement, sans thèse.",-1,agent
256,Considérations épistémiques : Aux sources humaines et artificielles de l'intelligence,,Stavroula Bellos,Éditions L'Harmattan,Ouverture Philosophique,9782336558127,Grand format,12.00 €,8 Janvier 2026,https://www.librel.be/livre/9782336558127-considerations-epistemiques-aux-sources-humaines-et-artificielles-de-l-intelligence-stavroula-bellos/,https://images.epagine.fr/127/9782336558127_1_m.jpg,0,3,"Neutre, épistémologique.",0,1,non,"Texte philosophique confus sur le langage, IA quasi absente, pas de menace.",0,agent
257,Intelligence artificielle et anthropomorphisme : De l'illusion à la confusion,,Roxana Ologeanu-Taddei,Presses De L'Ecole Des Mines,Design Numérique,9782385426460,Grand format,22.00 €,20 Février 2025,https://www.librel.be/livre/9782385426460-intelligence-artificielle-et-anthropomorphisme-de-l-illusion-a-la-confusion-roxana-ologeanu-taddei/,https://images.epagine.fr/460/9782385426460_1_m.jpg,2,2,"'Illusion', 'confusion' : mots de trouble cognitif, non dramatiques.",4,2,non,"Anthropomorphisme critiqué comme cause d'infantilisation, déshumanisation, passivité : dominant.",-2,agent
258,Intelligence artificielle,,Nicolas Spatola,Pu De Clermont Ferrand,L'Opportune,9782845168084,Grand format,4.50 €,17 Septembre 2018,https://www.librel.be/livre/9782845168084-intelligence-artificielle-nicolas-spatola/,https://images.epagine.fr/084/9782845168084_1_m.jpg,0,3,"Titre nu, neutre (identique ancre rang 22).",0,3,non,Présentation pédagogique neutre des notions et enjeux de l'IA.,0,agent
259,L'intelligence artificielle,,Collectif,Aedis,,9782381480152,Grand format,3.50 €,19 Mai 2021,https://www.librel.be/livre/9782381480152-l-intelligence-artificielle-collectif/,https://images.epagine.fr/152/9782381480152_1_m.jpg,0,3,"Titre nu, neutre (identique ancre rang 34).",0,1,oui,Description vide.,0,agent
260,PHP 8 et Intelligence artificielle  : Les clés du développement web intelligent,,"Olivier Heurtel, Louis Authie",Eni,Coffret Expert,9782409053856,Grand format,77.90 €,15 Avril 2026,https://www.librel.be/livre/9782409053856-php-8-et-intelligence-artificielle-les-cles-du-developpement-web-intelligent-olivier-heurtel-louis-authie/,https://images.epagine.fr/856/9782409053856_1_m.jpg,0,3,"Neutre, technique PHP.",0,3,non,"Livres techniques PHP/IA pour développeurs, purement pratique.",0,agent
261,(R)évolution de l'intelligence artificielle : Cadre juridique et technique,,"Axel Beelen, Philippe Dambly",Anthemis,,9782807211049,Grand format,103.00 €,19 Septembre 2023,https://www.librel.be/livre/9782807211049-r-evolution-de-l-intelligence-artificielle-cadre-juridique-et-technique-axel-beelen-philippe-dambly/,https://images.epagine.fr/049/9782807211049_1_m.jpg,0,3,"Neutre, cadre juridique et technique.",0,2,non,"Panorama équilibré ; dangers cités brièvement parmi opportunités, cadre juridique et éthique.",0,agent
262,L'intelligence artificielle dans le monde d'aujourd'hui,,Badr Boussabat,LUC PIRE,,9782875422453,Grand format,14.00 €,23 Septembre 2021,https://www.librel.be/livre/9782875422453-l-intelligence-artificielle-dans-le-monde-d-aujourd-hui-badr-boussabat/,https://images.epagine.fr/453/9782875422453_1_m.jpg,0,3,"Neutre, descriptif.",0,3,non,"Discours entièrement positif : l'IA améliore santé, climat, pauvreté, inégalités.",0,agent
263,Les 101 mots de l'intelligence artificielle : Guide du vocabulaire essentiel de la science des données et de l'intelligence artificielle,,Gérard Pelletier,Datafranca,,9782982113305,Grand format,12.05 €,18 Août 2026,https://www.librel.be/livre/9782982113305-les-101-mots-de-l-intelligence-artificielle-guide-du-vocabulaire-essentiel-de-la-science-des-donnees-et-de-l-intelligence-artificielle-gerard-pelletier/,https://images.epagine.fr/305/9782982113305_1_m.jpg,0,3,"Neutre, glossaire pédagogique.",0,3,non,"Lexique de termes techniques, purement descriptif et pédagogique.",0,agent
264,Connaître les habitats naturels à l'ère du numérique : De l'utilité de l'intelligence artificielle,,Jan-Bernard Bouzillé,Tec & doc,Environnement,9782743027711,Grand format,35.00 €,14 Août 2025,https://www.librel.be/livre/9782743027711-connaitre-les-habitats-naturels-a-l-ere-du-numerique-de-l-utilite-de-l-intelligence-artificielle-jan-bernard-bouzille/,https://images.epagine.fr/711/9782743027711_1_m.jpg,0,3,"Neutre, nature et numérique.",0,3,non,Guide scientifique sur la biodiversité ; IA citée comme simple outil neutre.,0,agent
265,Politique étrangère n.3/2024 : L'Intelligence artificielle ou la course à la puissance,,Collectif,Politique Etrangere,Politique Étrangère,9791037308108,Revue,23.00 €,24 Septembre 2024,https://www.librel.be/livre/9791037308108-politique-etrangere-n-3-2024-l-intelligence-artificielle-ou-la-course-a-la-puissance-collectif/,https://images.epagine.fr/108/9791037308108_1_m.jpg,2,2,"'Course à la puissance' : compétition géopolitique, domination évoquée sans menace directe.",1,1,non,Texte très court ; « problématiques » évoquées sans développement ni thèse claire.,1,agent
266,Les dossiers urbanisme aménagement n.65 : Intelligence artificielle et droit de l'urbanisme,,Collectif,Le Moniteur,Les Dossiers Urbanisme Aménagement,9782281137231,Revue,30.15 €,5 Novembre 2025,https://www.librel.be/livre/9782281137231-les-dossiers-urbanisme-amenagement-n-65-intelligence-artificielle-et-droit-de-l-urbanisme-collectif/,https://images.epagine.fr/231/9782281137231_1_m.jpg,0,3,"Neutre, urbanisme.",0,3,non,"Sommaire juridique technique sur l'IA en urbanisme, ton neutre.",0,agent
267,"Intelligence artificielle, culture et médias",,Véronique Guèvremont,PRESSES DE L'UNIVERSITE DE LAVAL,,9782763758770,Grand format,56.00 €,1 Septembre 2024,https://www.librel.be/livre/9782763758770-intelligence-artificielle-culture-et-medias-veronique-guevremont/,https://images.epagine.fr/770/9782763758770_1_m.jpg,0,3,"Neutre, culture et médias.",3,2,non,"Majorité d'auteurs expriment inquiétudes/interrogations réelles, mais ouvrage collectif, débat ouvert.",-3,agent
268,L'INTELLIGENCE ARTIFICIELLE ET LES ACTEURS DU DROIT,,"Elise Defreyne, François Wéry",Anthemis,Commission Université-Palais,9782807216662,Grand format,88.00 €,15 Juillet 2026,https://www.librel.be/livre/9782807216662-l-intelligence-artificielle-et-les-acteurs-du-droit-elise-defreyne-francois-wery/,https://images.epagine.fr/662/9782807216662_1_m.jpg,0,3,"Neutre, acteurs du droit.",0,3,non,"Guide juridique professionnel, opportunités et incertitudes citées sans dramatisation.",0,agent
269,RGPD 2024 : La protection des données personnelles à l'heure de l'intelligence artificielle : Guide pratique,,Jacques Folon,Corporate,,9782874353406,Grand format,52.00 €,1 Octobre 2024,https://www.librel.be/livre/9782874353406-rgpd-2024-la-protection-des-donnees-personnelles-a-l-heure-de-l-intelligence-artificielle-guide-pratique-2e-edition-jacques-folon/,https://images.epagine.fr/406/9782874353406_1_m.jpg,0,3,"'Protection des données' : positif, rassurant.",0,3,non,"Guide pratique RGPD, IA à peine mentionnée, ton administratif neutre.",0,agent
270,Intelligence artificielle : réalité et enjeux,,Jean-Gabriel Ganascia,Éditions du Cavalier Bleu,Idées Reçues - Grand Angle,9791031802138,Grand format,22.00 €,27 Avril 2017,https://www.librel.be/livre/9791031802138-intelligence-artificielle-realite-et-enjeux-jean-gabriel-ganascia/,https://images.epagine.fr/138/9791031802138_1_m.jpg,0,3,Neutre : 'réalité et enjeux'.,1,3,non,Déconstruit explicitement l'idée reçue de « devenir esclaves » des machines.,-1,agent
271,QUE PENSER DE... ? : la robotique et l'intelligence artificielle,,Dominique Lambert,Fidelite,Que Penser De... ?,9782873568290,Poche,9.50 €,10 Octobre 2019,https://www.librel.be/livre/9782873568290-que-penser-de-la-robotique-et-l-intelligence-artificielle-dominique-lambert/,https://images.epagine.fr/290/9782873568290_1_m.jpg,0,3,"Neutre, question ouverte pédagogique.",1,2,non,Rejette explicitement « technophobie dangereuse » autant que « technolâtrie incohérente ».,-1,agent
272,"L'intelligence artificielle en pratique avec Python : Recherche, optimisation, apprentissage",,"Hugues Bersini, Ken Hasselmann",Eyrolles,Blanche,9782416010941,Grand format,32.00 €,9 Mars 2023,https://www.librel.be/livre/9782416010941-l-intelligence-artificielle-en-pratique-avec-python-recherche-optimisation-apprentissage-2e-edition-hugues-bersini-ken-hasselmann/,https://images.epagine.fr/941/9782416010941_1_m.jpg,0,3,"Neutre, technique Python.",0,3,non,"Manuel algorithmique pédagogique, entièrement technique et neutre.",0,agent
273,La vie : science : l'intelligence artificielle hors série la vie,,Collectif,Malesherbes,La Vie,3260500002608,Revue,6.90 €,18 Octobre 2018,https://www.librel.be/livre/3260500002608-la-vie-science-l-intelligence-artificielle-hors-serie-la-vie-collectif/,https://images.epagine.fr/608/3260500002608_1_m.jpg,0,3,"Neutre, hors-série magazine.",0,1,oui,Description vide.,0,agent
274,"Éthique, Intelligence Artificielle et santé : Pour la construction d'un cadre éthique opérationnel",,Marie-Caroline Laï,Éditions L'Harmattan,Ethique Et Pratique Médicale,9782336496214,Grand format,14.00 €,14 Novembre 2024,https://www.librel.be/livre/9782336496214-ethique-intelligence-artificielle-et-sante-pour-la-construction-d-un-cadre-ethique-operationnel-marie-caroline-lai/,https://images.epagine.fr/214/9782336496214_1_m.jpg,0,3,"Neutre, constructif : 'cadre éthique opérationnel'.",2,2,non,"Espoirs et craintes cités, mais objectif constructif : bâtir un cadre éthique.",-2,agent
275,"Responsabilité civile, soft law et intelligence artificielle : La proposition d'un ""fait générateur de responsabilité de gouvernance""",,William Guay,PRESSES DE L'UNIVERSITE DE LAVAL,Minerve,9782766310067,Grand format,38.00 €,3 Septembre 2026,https://www.librel.be/livre/9782766310067-responsabilite-civile-soft-law-et-intelligence-artificielle-la-proposition-d-un-fait-generateur-de-responsabilite-de-gouvernance-william-guay/,https://images.epagine.fr/067/9782766310067_1_m.jpg,0,3,"Neutre, juridique technique.",1,2,non,"Questions juridiques ouvertes sur l'encadrement de l'IA, pas de thèse de menace.",-1,agent
276,Intelligence artificielle et sciences humaines et sociales : Regards pluriels,,Jean-Sébastien Vayre,Éditions L'Harmattan,Dossiers Sciences Humaines Et Sociales,9782336500294,Grand format,22.00 €,1 Mai 2025,https://www.librel.be/livre/9782336500294-intelligence-artificielle-et-sciences-humaines-et-sociales-regards-pluriels/,https://images.epagine.fr/294/9782336500294_1_m.jpg,0,3,"Neutre, 'regards pluriels'.",1,2,non,Perte de contrôle citée comme une hypothèse parmi d'autres questions ouvertes.,-1,agent
277,Génération I.A : 80 films et séries pour décrypter l'intelligence artificielle,,Alexandre Pachulski,E/P/A,,9782376712206,Grand format,35.00 €,19 Août 2020,https://www.librel.be/livre/9782376712206-generation-i-a-80-films-et-series-pour-decrypter-l-intelligence-artificielle-alexandre-pachulski/,https://images.epagine.fr/206/9782376712206_1_m.jpg,0,3,"Neutre, culturel : 'décrypter'.",1,2,non,"Films cités incluent limites/dangers, mais but est de « mieux maîtriser » l'IA.",-1,agent
278,La personne face à l'intelligence artificielle,,"Collectif, Magali Bouteille-Brigant",Ifjd,Colloques Et Essais,9782370323033,Grand format,21.00 €,1 Juin 2021,https://www.librel.be/livre/9782370323033-la-personne-face-a-l-intelligence-artificielle-collectif-magali-bouteille-brigant/,https://images.epagine.fr/033/9782370323033_1_m.jpg,1,2,"'Face à' : confrontation implicite, sans mot de menace fort.",0,3,non,"Actes de colloque juridique, analyse académique neutre de la personnalité juridique.",1,agent
279,L'Intelligence Artificielle pour les juristes,,"Alain Strowel, François Wéry",Larcier,,9782807947320,Grand format,75.00 €,7 Mai 2025,https://www.librel.be/livre/9782807947320-l-intelligence-artificielle-pour-les-juristes-alain-strowel-francois-wery/,https://images.epagine.fr/320/9782807947320_1_m.jpg,0,3,"Neutre, public visé juristes.",0,3,non,Guide pratique juridique sur les bons usages de l'IA générative.,0,agent
280,"L'intelligence artificielle, tu connais ? dès 13 ans",,Rabah Attik,Eyrolles,Pour Les Kids,9782416001055,Grand format,17.00 €,6 Mai 2021,https://www.librel.be/livre/9782416001055-l-intelligence-artificielle-tu-connais-des-13-ans-rabah-attik/,https://images.epagine.fr/055/9782416001055_1_m.jpg,0,3,"Neutre, question jeunesse.",1,2,non,"Risques sur l'emploi mentionnés, mais livre pratique et orienté vers ateliers positifs.",-1,agent
281,"Métamorphoses numériques : Explorations sur l'intelligence artificielle, le métavers, la blockchain et le marketing",,Nicolas Neysen,PULG,,9782875624369,Grand format,18.00 €,24 Avril 2025,https://www.librel.be/livre/9782875624369-metamorphoses-numeriques-explorations-sur-l-intelligence-artificielle-le-metavers-la-blockchain-et-le-marketing-nicolas-neysen/,https://images.epagine.fr/369/9782875624369_1_m.jpg,0,3,"Neutre, exploration technologique.",2,2,non,"Impact emploi/environnement critiqué, mais élément parmi d'autres sujets numériques, ton pédagogique.",-2,agent
282,L'INTELLIGENCE ARTIFICIELLE POUR VOTRE BUSINESS EN LIGNE,,Yasin Bouanani,Bookelis,,9791042420666,ebook (ePub),9.50 €,16 Novembre 2023,https://www.librel.be/ebook/9791042420666-l-intelligence-artificielle-pour-votre-business-en-ligne-yasin-bouanani/,https://images.epagine.fr/666/9791042420666_1_m.jpg,0,3,"Neutre, commercial.",0,3,non,Guide business entièrement promotionnel et positif sur l'IA.,0,agent
283,L'INTELLIGENCE ARTIFICIELLE  : L'EVEIL DE LA CREATURE DU DR FRANKENSTEIN,,Dr Yasin Bouanani,Bookelis,,9791042455309,ebook (ePub),9.49 €,11 Avril 2025,https://www.librel.be/ebook/9791042455309-l-intelligence-artificielle-l-eveil-de-la-creature-du-dr-frankenstein-dr-yasin-bouanani/,https://images.epagine.fr/309/9791042455309_1_m.jpg,5,3,'Éveil de la créature du Dr Frankenstein' : métaphore monstrueuse frontale et centrale.,3,2,non,"Perte de contrôle et scénarios cauchemardesques réels, mais explicitement pas un pamphlet, question ouverte.",2,agent
284,Sciences et sens de l'intelligence artificielle,,"Collectif, Guilhem Julia",Dalloz,Thèmes Et Commentaires,9782247197491,Grand format,38.00 €,7 Octobre 2020,https://www.librel.be/livre/9782247197491-sciences-et-sens-de-l-intelligence-artificielle-collectif-guilhem-julia/,https://images.epagine.fr/491/9782247197491_1_m.jpg,0,3,Neutre : 'sciences et sens'.,1,2,non,« Fascine autant qu'elle inquiète » cité en passant dans panorama académique pluridisciplinaire.,-1,agent
285,"Cerveau(x) et droit : neurodroit, algorithmes, intelligence artificielle, objets connectés, centres et décision",,"Sandie Lacroix de Sousa, Peggy Larrieu, Jacques Mestre",LGDJ,,9782275113289,Grand format,48.00 €,25 Octobre 2022,https://www.librel.be/livre/9782275113289-cerveau-x-et-droit-neurodroit-algorithmes-intelligence-artificielle-objets-connectes-centres-et-decision-sandie-lacroix-de-sousa-peggy-larrieu-jacques-mestre/,https://images.epagine.fr/289/9782275113289_1_m.jpg,0,3,"Neutre, juridique académique.",0,2,non,"Ouvrage juridique académique, questionnements équilibrés sur cerveau, droit et algorithmes.",0,agent
286,Comprendre l'intelligence artificielle : edition 2024,,Patrice Rey,Books on Demand,,9782322506415,Grand format,34.90 €,11 Juin 2024,https://www.librel.be/livre/9782322506415-comprendre-l-intelligence-artificielle-edition-2024-patrice-rey/,https://images.epagine.fr/415/9782322506415_1_m.jpg,0,3,"Neutre, manuel.",0,3,non,"Guide d'initiation accessible, entièrement neutre et pédagogique.",0,agent
287,Intelligence artificielle : le nouveau levier de puissance pour l'Afrique ?,,Revue Alternatives Africaines,Éditions L'Harmattan,Revue Alternatives Africaines,9782336580043,Grand format,27.00 €,22 Janvier 2026,https://www.librel.be/livre/9782336580043-intelligence-artificielle-le-nouveau-levier-de-puissance-pour-l-afrique-edition-2025-revue-alternatives-africaines/,https://images.epagine.fr/043/9782336580043_1_m.jpg,0,2,"'Nouveau levier de puissance' : opportunité positive, question ouverte sans menace.",0,2,non,"Sommaire d'articles académiques divers, purement descriptif, aucune thèse négative.",0,agent
289,Intelligence artificielle et e-gouvernance en Afrique : Vers une administration publique transparente et plus efficace,,"Rose Pola Pricemou, Michel Boukar, Amadou Oury Bah",Éditions L'Harmattan,Afriques En Mutations,9782336552538,Grand format,27.00 €,11 Septembre 2025,https://www.librel.be/livre/9782336552538-intelligence-artificielle-et-e-gouvernance-en-afrique-vers-une-administration-publique-transparente-et-plus-efficace-rose-pola-pricemou-michel-boukar/,https://images.epagine.fr/538/9782336552538_1_m.jpg,0,3,"Neutre, positif : 'transparente et plus efficace'.",2,2,non,"Biais, discriminations et défis cités, mais conclusion optimiste et recommandations constructives.",-2,agent
290,Intelligence artificielle : un clone de l'homme,,Pierre Massotte,Cap Bear,,9782350662657,Grand format,27.00 €,9 Novembre 2022,https://www.librel.be/livre/9782350662657-intelligence-artificielle-un-clone-de-l-homme-pierre-massotte/,https://images.epagine.fr/657/9782350662657_1_m.jpg,3,2,"'Un clone de l'homme' : identité humaine dupliquée, angle négatif net mais isolé.",2,1,non,"Questionnement philosophique sur chaos/sagesse, registre spirituel confus, pas de thèse nette.",1,agent
291,Institut EuropIA : l'intelligence artificielle en questions,,Collectif,Ovadia,,9782363924339,Grand format,14.00 €,30 Avril 2021,https://www.librel.be/livre/9782363924339-institut-europia-l-intelligence-artificielle-en-questions-collectif/,https://images.epagine.fr/339/9782363924339_1_m.jpg,0,3,"Neutre, 'en questions', pédagogique.",1,2,non,Met en garde contre « dérives dangereuses » mais promeut surtout bienfaits et humanisme industriel.,-1,agent
292,La culture des données ; intelligence artificielle et algorithmes dans les industries culturelles,,"Joëlle Farchy, Juliette Parachini-denis",Presses De L'Ecole Des Mines,Les Cahiers De L'Emns,9782356715944,Grand format,15.00 €,27 Février 2020,https://www.librel.be/livre/9782356715944-la-culture-des-donnees-intelligence-artificielle-et-algorithmes-dans-les-industries-culturelles-joelle-farchy-juliette-parachini-denis/,https://images.epagine.fr/944/9782356715944_1_m.jpg,0,3,"Neutre, académique : 'culture des données', aucun mot de menace.",0,2,non,"Questions ouvertes sur auteurs, revenus, régulation ; ton informatif, aucune thèse de menace.",0,agent
293,L'intelligence artificielle ; les machines sont-elles déjà plus intelligente que nous ?,,Numerica,Plume Libre,,9782492126048,Grand format,8.00 €,3 Septembre 2020,https://www.librel.be/livre/9782492126048-l-intelligence-artificielle-les-machines-sont-elles-deja-plus-intelligente-que-nous-numerica/,https://images.epagine.fr/048/9782492126048_1_m.jpg,3,2,"'Plus intelligentes que nous' : infériorité humaine implicite, question frontale.",1,3,non,"Danger posé comme question ouverte parmi les opportunités, invite à se forger son opinion.",2,agent
294,Intelligence artificielle ; la réalité & le mythe,,Alain Bretto,Desiris,,9782364032002,Grand format,10.00 €,3 Mars 2021,https://www.librel.be/livre/9782364032002-intelligence-artificielle-la-realite-le-mythe-alain-bretto/,https://images.epagine.fr/002/9782364032002_1_m.jpg,1,2,"'Le mythe' démystifiant, écho à 'Mythologies', aucun mot de menace direct.",1,3,non,Angoisse évoquée puis explicitement démythifiée par une approche objective et pédagogique.,0,agent
